ppm,spectrum
0.700146,0
0.700375,0
0.700604,0
0.701062,0
0.701292,0
0.701521,0
0.70175,0
0.702208,0
0.702437,0
0.702666,0
0.702895,0
0.703353,0
0.703583,0
0.703812,0
0.704041,0
0.704499,0
0.704728,0
0.704957,0
0.705186,0
0.705415,0
0.705874,0
0.706103,0
0.706332,0
0.706561,0
0.707019,0
0.707248,0
0.707477,0
0.707706,0
0.708165,0
0.708394,0
0.708623,0
0.708852,0
0.70931,0
0.709539,0
0.709768,0
0.709998,0
0.710456,0
0.710685,0
0.710914,0
0.711143,0
0.711372,0
0.71183,0
0.712059,0
0.712289,0
0.712518,0
0.712976,0
0.713205,0
0.713434,0
0.713663,0
0.714121,0
0.714351,0
0.71458,0
0.714809,0
0.715267,0
0.715496,0
0.715725,0
0.715954,0
0.716183,0
0.716642,0
0.716871,0
0.7171,0
0.717329,0
0.717787,0
0.718016,0
0.718245,0
0.718474,0
0.718933,0
0.719162,0
0.719391,0
0.71962,0
0.720078,0
0.720307,0
0.720536,0
0.720765,0
0.721224,0
0.721453,0
0.721682,0
0.721911,0
0.72214,0
0.722598,0
0.722827,0
0.723057,0
0.723286,0
0.723744,5.34E-14
0.723973,0.001835088
0.724202,0.001835088
0.724431,0.001835088
0.724889,0.001835088
0.725118,0
0.725348,0
0.725577,0
0.726035,0
0.726264,0
0.726493,0
0.726722,0
0.726951,0
0.72741,0
0.727639,0
0.727868,5.34E-14
0.728097,0.001835088
0.728555,0
0.728784,0
0.729013,0
0.729242,5.34E-14
0.729701,0.001835088
0.72993,0
0.730159,0
0.730388,0
0.730846,0
0.731075,0
0.731304,0
0.731533,0
0.731992,0
0.732221,0
0.73245,0
0.732679,0
0.732908,0
0.733366,0
0.733595,0
0.733824,0
0.734054,0
0.734512,0
0.734741,0
0.73497,0
0.735199,0
0.735657,0
0.735886,0
0.736116,0
0.736345,0
0.736803,0.001835088
0.737032,0.001835088
0.737261,0.001835088
0.73749,0
0.737719,0
0.738178,0
0.738407,0
0.738636,0
0.738865,0
0.739323,0
0.739552,0
0.739781,0
0.74001,0
0.740469,0
0.740698,0
0.740927,5.34E-14
0.741156,0.001835088
0.741614,0
0.741843,0
0.742072,0
0.742301,0
0.74276,0.001835088
0.742989,0
0.743218,0
0.743447,0
0.743676,0
0.744134,0
0.744363,0
0.744592,0
0.744822,0
0.74528,0
0.745509,6.68E-14
0.745738,0.001835088
0.745967,0.001835088
0.746425,0.001835088
0.746654,0
0.746884,0
0.747113,0
0.747571,0
0.7478,0
0.748029,0
0.748258,0
0.748487,0
0.748945,0
0.749175,0
0.749404,0
0.749633,0
0.750091,0
0.75032,0
0.750549,0
0.750778,0
0.751237,0
0.751466,0
0.751695,0
0.751924,0
0.752382,0
0.752611,0
0.75284,0
0.753069,0
0.753298,0
0.753757,0
0.753986,0
0.754215,0
0.754444,0
0.754902,0
0.755131,0
0.75536,0
0.75559,0
0.756048,0
0.756277,0
0.756506,0
0.756735,0
0.757193,0
0.757422,8.01E-14
0.757651,0.001835088
0.757881,0.001835088
0.758339,0.001835088
0.758568,0.001835088
0.758797,0.001835088
0.759026,0.001835088
0.759255,0
0.759713,0
0.759943,8.01E-14
0.760172,0.001835088
0.760401,0.001835088
0.760859,0.001835088
0.761088,0.001835088
0.761317,0
0.761546,0
0.762004,0
0.762234,0
0.762463,0
0.762692,0
0.76315,0
0.763379,0
0.763608,0
0.763837,0
0.764066,0
0.764525,0
0.764754,0
0.764983,0
0.765212,0
0.76567,0
