ppm,spectrum
0.700093,1.60E-13
0.700459,0.005516484
0.700642,0.001837297
0.701008,0
0.701191,0
0.701558,0
0.701741,0
0.702107,0
0.70229,0
0.702656,0.005516484
0.702839,0.009186813
0.703205,0.011032967
0.703571,0.007340659
0.703754,0.007340659
0.704121,0.009186813
0.704304,0.007340659
0.70467,0.009186813
0.704853,0.011032967
0.705219,0.009186813
0.705402,0.009186813
0.705768,0.014703297
0.705951,0.012857143
0.706318,0.005516484
0.706684,0
0.706867,0.001837297
0.707233,0.00367033
0.707416,0.00367033
0.707782,0
0.707965,0.001837297
0.708331,0.009186813
0.708515,0.007340659
0.708881,0.007340659
0.709247,0.009186813
0.70943,0.009186813
0.709796,0.011032967
0.709979,0.011032967
0.710345,0.007340659
0.710528,0.005516484
0.710895,0.00367033
0.711078,1.07E-13
0.711444,0
0.711627,0
0.711993,0.005516484
0.712359,0.00367033
0.712542,1.07E-13
0.712908,0
0.713092,0
0.713458,0
0.713641,0
0.714007,0
0.71419,0
0.714556,0.009186813
0.714739,0.007340659
0.715105,0
0.715472,0
0.715655,0
0.716021,0
0.716204,0
0.71657,0.007340659
0.716753,0.005516484
0.717119,1.07E-13
0.717302,0
0.717668,0
0.717852,0
0.718218,0
0.718584,0
0.718767,0
0.719133,0
0.719316,0
0.719682,0
0.719865,0
0.720232,0
0.720415,0
0.720781,0.007340659
0.721147,0.012857143
0.72133,0.009186813
0.721696,0.012857143
0.721879,0.012857143
0.722245,0
0.722429,0
0.722795,0
0.722978,0
0.723344,0
0.723527,0.001837297
0.723893,0.00367033
0.724259,0
0.724442,0
0.724809,0
0.724992,0
0.725358,0.00367033
0.725541,0.007340659
0.725907,0.007340659
0.72609,0.007340659
0.726456,0
0.726639,0
0.727005,0.00367033
0.727372,0.007340659
0.727555,0.007340659
0.727921,0.007340659
0.728104,0.011032967
0.72847,0.005516484
0.728653,0.001837297
0.729019,0.00367033
0.729202,0.00367033
0.729569,0.001837297
0.729752,0
0.730118,0
0.730484,0
0.730667,0.001837297
0.731033,0
0.731216,0
0.731582,0.005516484
0.731766,0.00367033
0.732132,0.005516484
0.732315,0.009186813
0.732681,0.011032967
0.733047,0.007340659
