ppm,spectrum
0.700053,0.007325464
0.700421,0.005494098
0.700605,0.005494098
0.700973,0
0.701156,0
0.701524,0
0.701708,0
0.702076,0.003662732
0.702259,0.001831366
0.702627,0
0.702811,1.34E-14
0.703179,0.005494098
0.703362,0.005494098
0.70373,0.003662732
0.704098,0.005494098
0.704282,0.001831366
0.704649,0.003662732
0.704833,0.003662732
0.705201,0.005494098
0.705385,0.011028668
0.705752,0.011028668
0.705936,0.003662732
0.706304,0.003662732
0.706488,0.007325464
0.706855,0.012849916
0.707223,0.012849916
0.707407,0.014671164
0.707775,0.011028668
0.707958,0.011028668
0.708326,0.020134907
0.70851,0.014671164
0.708878,0.003662732
0.709061,1.34E-14
0.709429,0.007325464
0.709613,0.007325464
0.709981,0
0.710164,0
0.710532,0
0.7109,4.00E-14
0.711084,0.005494098
0.711451,0
0.711635,0
0.712003,0
0.712187,0
0.712554,0
0.712738,0
0.713106,0.007325464
0.71329,0.009146712
0.713657,0.007325464
0.714025,0.001831366
0.714209,0.003662732
0.714576,0.001831366
0.71476,2.66E-14
0.715128,0.003662732
0.715312,0.003662732
0.71568,0.001831366
0.715863,0.001831366
0.716231,0.011028668
0.716415,0.012849916
0.716783,0.009146712
0.716966,0.005494098
0.717334,0
0.717702,0
0.717886,0
0.718253,0.007325464
0.718437,0.011028668
0.718805,0.003662732
0.718989,2.66E-14
0.719356,0.003662732
0.71954,0.005494098
0.719908,0.001831366
0.720092,0
0.720459,0.003662732
0.720827,0.009146712
0.721011,0.009146712
0.721378,0.012849916
0.721562,0.011028668
0.72193,0.016492411
0.722114,0.016492411
0.722482,0.007325464
0.722665,0.001831366
0.723033,0.005494098
0.723217,0.007325464
0.723585,0.007325464
0.723768,0.001831366
0.724136,0
0.724504,0.011028668
0.724688,0.007325464
0.725055,0.001831366
0.725239,0.003662732
0.725607,0.001831366
0.725791,0.003662732
0.726158,0.005494098
0.726342,0.005494098
0.72671,0.005494098
0.726894,0.007325464
0.727261,0.005494098
0.727629,0.005494098
0.727813,0.003662732
0.72818,0
0.728364,0
0.728732,0
0.728916,0
0.729283,0.001831366
0.729467,0.003662732
0.729835,0
0.730019,0.001831366
0.730387,0.007325464
0.73057,0.007325464
0.730938,0.007325464
0.731306,0.001831366
0.73149,0.003662732
0.731857,0.011028668
0.732041,0.011028668
0.732409,0.005494098
0.732593,0.007325464
0.73296,0.005494098
0.733144,0.005494098
0.733512,0.001831366
0.733696,0.005494098
0.734063,0.007325464
0.734247,0.007325464
0.734615,0.007325464
0.734982,0.005494098
0.735166,0.003662732
0.735534,0.007325464
0.735718,0.005494098
0.736085,0.007325464
0.736269,0.011028668
0.736637,0.012849916
0.736821,0.007325464
0.737188,0
0.737372,0
0.73774,0
0.738108,0
0.738292,0
0.738659,0.003662732
0.738843,0.005494098
0.739211,0.001831366
0.739395,0
0.739762,2.66E-14
0.739946,0.001831366
0.740314,0.007325464
0.740498,0.007325464
0.740865,0.007325464
0.741049,0.007325464
0.741417,0.001831366
0.741784,0.003662732
0.741968,0.001831366
0.742336,0.001831366
0.74252,0.003662732
0.742887,0
0.743071,0
0.743439,0
0.743623,0
0.74399,0
0.744174,2.66E-14
0.744542,0.001831366
0.74491,0
0.745094,0
0.745461,0.001831366
0.745645,0.009146712
0.746013,0.016492411
0.746197,0.020134907
0.746564,0.016492411
0.746748,0.009146712
0.747116,0.011028668
0.7473,0.014671164
0.747667,0.012849916
0.747851,0.009146712
0.748219,0.009146712
0.748586,0.007325464
0.74877,0.007325464
0.749138,0.001831366
0.749322,0
0.749689,0
0.749873,0
0.750241,0
0.750425,0
0.750792,0
0.750976,0
0.751344,0
0.751712,0
0.751895,0
0.752263,0
0.752447,0
0.752815,0
0.752999,0
0.753366,0
0.75355,7.99E-14
0.753918,0.005494098
0.754102,0.003662732
0.754469,0.012849916
0.754653,0.009146712
0.755021,0.011028668
0.755388,0.005494098
0.755572,0.009146712
0.75594,0.011028668
0.756124,0.011028668
0.756491,0.012849916
0.756675,0.007325464
0.757043,0.003662732
0.757227,0.007325464
0.757594,0.005494098
0.757778,0.003662732
0.758146,0
0.75833,4.00E-14
0.758697,0.003662732
0.759065,0.007325464
0.759249,0.011028668
0.759617,0.011028668
0.759801,0.012849916
0.760168,0.020134907
0.760352,0.020134907
0.76072,0.023777403
0.760904,0.023777403
0.761271,0.014671164
0.761455,0.009146712
0.761823,0.005494098
0.76219,0.014671164
0.762374,0.016492411
0.762742,0.011028668
0.762926,0.005494098
0.763293,0
0.763477,0
0.763845,0.001831366
0.764029,0.001831366
0.764396,2.13E-13
0.76458,0.007325464
0.764948,0.007325464
0.765132,0.007325464
0.765499,0.009146712
0.765867,0.009146712
0.766051,0.007325464
0.766419,0.009146712
0.766602,0.012849916
0.76697,0.005494098
0.767154,0.005494098
0.767522,0.003662732
0.767706,0
0.768073,0.005494098
0.768257,0.009146712
0.768625,0
0.768992,0.001831366
0.769176,0
0.769544,0
0.769728,0
0.770095,0
0.770279,0.001831366
0.770647,0.005494098
0.770831,0.007325464
0.771198,0.005494098
0.771382,0.003662732
0.77175,0.009146712
0.771934,0.003662732
0.772301,0
0.772669,0
0.772853,0
0.773221,0.005494098
0.773404,0.005494098
