ppm,spectrum
0.700092,0
0.700459,0.003679245
0.700642,0
0.701008,0
0.701191,0
0.701557,0.012863208
0.70174,0.022075472
0.702106,0.001839623
0.702289,0
0.702656,0
0.702839,0
0.703205,0
0.703571,0
0.703754,0
0.70412,0.007358491
0.704303,0
0.704669,0.022075472
0.704852,0.031273585
0.705219,0.011037736
0.705402,0
0.705768,0.018396226
0.705951,0.016556604
0.706317,0
0.706683,0
0.706866,0
0.707232,0
0.707416,0
0.707782,0
0.707965,0
0.708331,0
0.708514,0
0.70888,0
0.709246,0
0.709429,0
0.709796,0
0.709979,0
0.710345,0
0.710528,0
0.710894,0
0.711077,0
0.711443,0
0.711626,0
0.711993,0.005518868
0.712359,0
0.712542,0
0.712908,0
0.713091,0
0.713457,0.023915094
0.71364,0.025754717
0.714006,0.009198113
0.714189,0.003679245
0.714556,0.007358491
0.714739,0
0.715105,0
0.715471,0
0.715654,0
0.71602,0
0.716203,0
0.716569,0
0.716753,0.025754717
0.717119,0.022075472
0.717302,0.012863208
0.717668,0
0.717851,0
0.718217,0
0.718583,0
0.718766,0
0.719133,0
0.719316,0
0.719682,0.018396226
0.719865,0.014716981
0.720231,0.040471698
0.720414,0.058867925
0.72078,0.044150943
0.721146,0.033113208
0.72133,0.036792453
0.721696,0.038632075
0.721879,0.022075472
0.722245,0.005518868
0.722428,0.022075472
0.722794,0.029433962
0.722977,0.018396226
0.723343,0.014716981
0.723526,0.009198113
0.723893,0
0.724259,0
0.724442,0
0.724808,0
0.724991,0
0.725357,0
0.72554,0
0.725906,0
0.72609,0
0.726456,0.03495283
0.726639,0.047830189
0.727005,0
0.727371,0
0.727554,0.005518868
0.72792,0.012863208
0.728103,0.011037736
0.72847,0.020235849
0.728653,0.009198113
0.729019,0
0.729202,0.009198113
0.729568,0
0.729751,0
0.730117,0
0.730483,0
0.730667,0
0.731033,0
0.731216,0
0.731582,0
0.731765,0
0.732131,0
0.732314,0
0.73268,0
0.733047,0
0.73323,0
0.733596,0.007358491
0.733779,0
0.734145,0.009198113
0.734328,0.011037736
0.734694,0.001839623
0.734877,0
0.735244,0
0.735427,0
0.735793,0
0.736159,0
0.736342,0
0.736708,0
0.736891,0
0.737257,0
0.73744,0
0.737807,0
0.73799,0
0.738356,0
0.738539,0
0.738905,0
0.739271,0
0.739454,0
0.73982,0.023915094
0.740004,0.025754717
0.74037,0.025754717
0.740553,0.029433962
0.740919,0.020235849
0.741102,0.005518868
0.741468,0.012863208
0.741651,0.007358491
0.742017,0.012863208
0.742384,0.022075472
0.742567,0.025754717
0.742933,0.040471698
0.743116,0.045990566
0.743482,0.02759434
0.743665,0.014716981
0.744031,0.014716981
0.744214,0.005518868
0.744581,0.009198113
0.744947,0
0.74513,0
0.745496,0.005518868
0.745679,0.011037736
0.746045,0
0.746228,0
0.746594,0
0.746777,5.62E-13
0.747144,0.014716981
0.747327,0.011037736
0.747693,0
0.748059,0
0.748242,0
0.748608,0
0.748791,0
0.749157,0
0.749341,0.005518868
0.749707,0
0.74989,0
0.750256,0
0.750439,0
0.750805,0.023915094
0.751171,0.012863208
0.751354,0
0.751721,0
0.751904,0.009198113
0.75227,0.014716981
0.752453,0
0.752819,0
0.753002,0
0.753368,0
0.753551,0
0.753918,0
0.754284,0.001839623
0.754467,0.003679245
0.754833,0
0.755016,0
0.755382,0.02759434
0.755565,0.016556604
0.755931,9.36E-13
0.756114,0.018396226
0.756481,0
0.756847,0
0.75703,0
0.757396,0
0.757579,0
0.757945,0
0.758128,0
0.758494,0.009198113
0.758678,0.009198113
0.759044,0
0.759227,0
0.759593,0.005518868
0.759959,0.012863208
0.760142,0
0.760508,0
0.760691,0
0.761058,0.014716981
0.761241,0.014716981
0.761607,0
0.76179,0
0.762156,0
0.762339,0
0.762705,0.005518868
0.763071,0.007358491
0.763255,0.014716981
0.763621,0.020235849
0.763804,0.009198113
0.76417,0.005518868
0.764353,0
0.764719,0
0.764902,0
0.765268,0
0.765451,0
0.765818,0.036792453
0.766184,0.029433962
0.766367,0.018396226
0.766733,0.031273585
0.766916,0.020235849
0.767282,0.020235849
0.767465,0.011037736
0.767831,0
0.768015,0
0.768381,0
0.768747,0
0.76893,0
0.769296,0
0.769479,1.07E-13
0.769845,0
0.770028,0
0.770395,0
0.770578,0
0.770944,0
0.771127,0
0.771493,0
0.771859,0
0.772042,0
0.772408,0
0.772592,0
0.772958,0
0.773141,0
0.773507,0
0.77369,0
0.774056,0
0.774239,0
0.774605,0
0.774972,0.005518868
0.775155,0.016556604
0.775521,0.047830189
0.775704,0.055188679
0.77607,0.038632075
0.776253,0.03495283
0.776619,0.012863208
0.776802,0.001839623
0.777168,0.022075472
0.777352,0.029433962
0.777718,0.005518868
0.778084,0
0.778267,0
0.778633,0
0.778816,0
0.779182,0
0.779365,0
0.779732,0.003679245
0.779915,0.011037736
0.780281,0
0.780647,0
0.78083,0
0.781196,0
0.781379,0
0.781745,4.28E-13
0.781929,0.007358491
0.782295,0.011037736
0.782478,0.011037736
0.782844,0.020235849
0.783027,0.031273585
0.783393,0.029433962
0.783759,0
0.783942,0
0.784309,0
0.784492,0.022075472
0.784858,0.023915094
0.785041,0.007358491
0.785407,0.038632075
0.78559,0.057028302
0.785956,0.036792453
0.786139,0.023915094
0.786505,0.011037736
0.786872,0.001839623
0.787055,0
0.787421,0.005518868
0.787604,0.016556604
0.78797,0
0.788153,0
0.788519,0
0.788702,0
0.789069,0
0.789252,0
0.789618,0
0.789984,0
0.790167,0
0.790533,0
0.790716,0
0.791082,0
0.791266,7.22E-13
0.791632,0.040471698
0.791815,0.06254717
0.792181,0.018396226
0.792547,0.012863208
0.79273,0.012863208
0.793096,0.005518868
0.793279,0
0.793646,0
0.793829,0
0.794195,0.031273585
0.794378,0.029433962
0.794744,0.031273585
0.794927,0.020235849
0.795293,0
0.795659,0.02759434
0.795842,0.045990566
0.796209,0.016556604
0.796392,0.011037736
0.796758,0
0.796941,0
0.797307,0.018396226
0.79749,0.044150943
0.797856,0.025754717
0.798039,0.03495283
0.798406,0.009198113
0.798772,0
0.798955,0
0.799321,0
0.799504,0.009198113
0.79987,0
0.800053,0
0.800419,0
0.800603,0
0.800969,0
0.801152,0
0.801518,0
0.801884,0
0.802067,0
0.802433,0
0.802616,0
0.802983,0
0.803166,0
0.803532,0
0.803715,0.007358491
0.804081,0.014716981
0.804447,0
0.80463,0
0.804996,4.01E-13
0.805179,0.005518868
0.805546,0
0.805729,0
0.806095,0
0.806278,0
0.806644,0
0.806827,0
0.807193,0.011037736
0.80756,0
0.807743,0.003679245
0.808109,0
0.808292,0.007358491
0.808658,0.049669811
0.808841,0.060707547
0.809207,0.045990566
0.80939,0.040471698
0.809756,0.045990566
0.80994,0.040471698
0.810306,0.018396226
0.810672,0
0.810855,0
0.811221,0
0.811404,0
0.81177,0.007358491
0.811953,0.009198113
0.81232,0.023915094
0.812503,0.036792453
0.812869,0.02759434
0.813052,0.018396226
0.813418,0
0.813784,0
0.813967,0
0.814333,0
0.814516,0
0.814883,0
0.815066,1.03E-12
0.815432,0.012863208
0.815615,0.001839623
0.815981,0
0.816347,0
0.81653,0
0.816897,0
0.81708,0
0.817446,0.007358491
0.817629,0.018396226
0.817995,0
0.818178,0
0.818544,0
0.818727,0
0.819093,0.011037736
0.81946,0.012863208
0.819643,0.007358491
0.820009,0.022075472
0.820192,0.040471698
0.820558,0.02759434
0.820741,0.014716981
0.821107,1.03E-12
0.82129,0.012863208
0.821657,0
0.82184,0.007358491
0.822206,0.040471698
0.822572,0.022075472
0.822755,0.009198113
0.823121,0
0.823304,0
0.82367,0.03495283
0.823854,0.040471698
0.82422,0
0.824403,0
0.824769,0
0.824952,0
0.825318,0
0.825684,0
0.825867,0.001839623
0.826234,0
0.826417,0
0.826783,0
0.826966,0
0.827332,0
0.827515,0.007358491
0.827881,0.031273585
0.828247,0.038632075
0.82843,0.038632075
0.828797,0
0.82898,0
0.829346,0
0.829529,0
0.829895,0
0.830078,0
0.830444,0
0.830627,0
0.830994,0
0.83136,0.012863208
0.831543,0.023915094
0.831909,0.007358491
0.832092,0
0.832458,0
0.832641,0.003679245
0.833007,0.018396226
0.833191,0.025754717
0.833557,0.007358491
0.83374,0
0.834106,0
0.834472,0
0.834655,0
0.835021,0
0.835204,0.014716981
0.835571,0
0.835754,0
0.83612,0.022075472
0.836303,0.014716981
0.836669,0.040471698
0.836852,0.036792453
0.837218,0.012863208
0.837584,0
0.837767,0
0.838134,0
0.838317,0
0.838683,0
0.838866,0
0.839232,0
0.839415,0
0.839781,0
0.840147,0
0.840331,0
0.840697,0.029433962
0.84088,0.022075472
0.841246,0
0.841429,0
0.841795,0
0.841978,0
0.842344,0.014716981
0.842528,0.016556604
0.842894,0.029433962
0.84326,0
0.843443,0
0.843809,0
0.843992,0
0.844358,0
0.844541,0.023915094
0.844908,0
0.845091,0
0.845457,0
0.84564,0
0.846006,0.003679245
0.846372,0
0.846555,0
0.846921,0
0.847104,0
0.847471,0.047830189
0.847654,0.071745283
0.84802,0.051509434
0.848203,0.022075472
0.848569,0
0.848752,0
0.849118,0
0.849484,0
0.849668,0
0.850034,0
0.850217,0
0.850583,0
0.850766,0
0.851132,0
0.851315,0
0.851681,0
0.852048,0
0.852231,0
0.852597,0
0.85278,0
0.853146,0.007358491
0.853329,0.020235849
0.853695,0.03495283
0.853878,0.031273585
0.854245,0.016556604
0.854428,0
0.854794,1.74E-12
0.85516,0.025754717
0.855343,0.03495283
0.855709,0.025754717
0.855892,0.001839623
0.856258,8.69E-13
0.856441,0.009198113
0.856808,0.009198113
0.856991,0.005518868
0.857357,0
0.85754,0.022075472
0.857906,0.001839623
0.858272,0
0.858455,0
0.858821,0
0.859005,0
0.859371,0
0.859554,0
0.85992,0
0.860103,0.012863208
0.860469,0.029433962
0.860652,0.029433962
0.861018,0.005518868
0.861385,0
0.861568,0
0.861934,0.016556604
0.862117,0.016556604
0.862483,0.029433962
0.862666,0.009198113
0.863032,0
0.863215,0
0.863582,0
0.863948,0
0.864131,0
0.864497,0.018396226
0.86468,0
0.865046,0
0.865229,0
0.865595,0
0.865778,0
0.866145,0
0.866328,0
0.866694,0.001839623
0.86706,0.057028302
0.867243,0.049669811
0.867609,0
0.867792,0
0.868159,0
0.868342,0
0.868708,0
0.868891,0
0.869257,0
0.86944,2.06E-12
0.869806,0.031273585
0.870172,0.029433962
0.870355,0.014716981
0.870722,0.016556604
0.870905,0.025754717
0.871271,0
0.871454,0
0.87182,0
0.872003,0
0.872369,0
0.872552,0
0.872919,0.022075472
0.873285,0
0.873468,0
0.873834,0.011037736
0.874017,0.005518868
0.874383,0.018396226
0.874566,0.03495283
0.874932,0.036792453
0.875115,0.033113208
0.875482,0.020235849
0.875848,0.007358491
0.876031,8.03E-13
0.876397,0.033113208
0.87658,0.047830189
0.876946,0
0.877129,0
0.877496,0
0.877679,0
0.878045,0
0.878228,0
0.878594,0.005518868
0.87896,0
0.879143,0
0.879509,0.018396226
0.879692,0.036792453
0.880059,0.047830189
0.880242,0.025754717
0.880608,0
0.880791,0
0.881157,0
0.88134,0
0.881706,0
0.882072,1.81E-12
0.882256,0.016556604
0.882622,0.02759434
0.882805,0.011037736
0.883171,0.003679245
0.883354,0
0.88372,0
0.883903,0
0.884269,0.020235849
0.884452,0.018396226
0.884819,0.016556604
0.885185,0.014716981
0.885368,0.029433962
0.885734,0.045990566
0.885917,0.042311321
0.886283,0.029433962
0.886466,0.018396226
0.886833,0.020235849
0.887016,0.012863208
0.887382,0.036792453
0.887748,0.058867925
0.887931,0.047830189
0.888297,0.016556604
0.88848,0.005518868
0.888846,0.040471698
0.889029,0.047830189
0.889396,0.044150943
0.889579,0.02759434
0.889945,0.053349057
0.890128,0.045990566
0.890494,0.023915094
0.89086,0.007358491
0.891043,0.022075472
0.891409,0.011037736
0.891593,0
0.891959,0.007358491
0.892142,0.011037736
0.892508,0.023915094
0.892691,0.022075472
0.893057,0.012863208
0.89324,0.018396226
0.893606,0.023915094
0.893973,0.016556604
0.894156,0.011037736
0.894522,0.007358491
0.894705,0.001839623
0.895071,0
0.895254,0
0.89562,0
0.895803,0
0.89617,0
0.896353,1.93E-12
0.896719,0.020235849
0.897085,0
0.897268,0
0.897634,0
0.897817,0
0.898183,0
0.898366,0
0.898733,0
0.898916,0
0.899282,0
0.899465,0
0.899831,0
0.900197,0
0.90038,2.14E-13
0.900746,0.012863208
0.90093,0.029433962
0.901296,0.02759434
0.901479,0.022075472
0.901845,0
0.902028,0.005518868
0.902394,0.029433962
0.90276,0.044150943
0.902943,0.073584906
0.90331,0.053349057
0.903493,0.033113208
0.903859,0.014716981
0.904042,0.023915094
0.904408,0.045990566
0.904591,0.038632075
0.904957,0
0.90514,0
0.905507,0
0.905873,0
0.906056,0
0.906422,0.005518868
0.906605,0.003679245
0.906971,0
0.907154,0
0.90752,0
0.907703,0.005518868
0.90807,0
0.908253,0
0.908619,0
0.908985,0
0.909168,0
0.909534,0
0.909717,0
0.910083,0
0.910267,0
0.910633,0
0.910816,0.029433962
0.911182,0.051509434
0.911365,0.02759434
0.911731,0.02759434
0.912097,0
0.91228,0
0.912647,0
0.91283,0
0.913196,0
0.913379,0
0.913745,0
0.913928,0
0.914294,0.012863208
0.91466,0.009198113
0.914844,0.003679245
0.91521,0
0.915393,0
0.915759,0
0.915942,0
0.916308,0
0.916491,0
0.916857,0
0.91704,0
0.917407,0
0.917773,0
0.917956,0.007358491
0.918322,0
0.918505,0
0.918871,0
0.919054,0
0.91942,0.007358491
0.919604,0.003679245
0.91997,0
0.920153,0
0.920519,0.007358491
0.920885,0.020235849
0.921068,0.005518868
0.921434,0.020235849
0.921617,0.033113208
0.921984,0.031273585
0.922167,0.038632075
0.922533,0.005518868
0.922716,0
0.923082,9.63E-13
0.923265,0.007358491
0.923631,0.011037736
0.923997,0
0.924181,0
0.924547,0.012863208
0.92473,0
0.925096,0
0.925279,0
0.925645,0.014716981
0.925828,0.011037736
0.926194,0.012863208
0.926561,0.022075472
0.926744,0.018396226
0.92711,0.001839623
0.927293,0.005518868
0.927659,0.012863208
0.927842,0.036792453
0.928208,0.040471698
0.928391,0.02759434
0.928757,0
0.928941,0
0.929307,0
0.929673,0
0.929856,0
0.930222,0.003679245
0.930405,0
0.930771,0
0.930954,0
0.931321,0.012863208
0.931504,0
0.93187,0
0.932053,0
0.932419,0.011037736
0.932785,0.02759434
0.932968,0.020235849
0.933334,0
0.933518,0
0.933884,0
0.934067,0
0.934433,0.020235849
0.934616,0.033113208
0.934982,0.011037736
0.935165,0
0.935531,0
0.935898,0
0.936081,0
0.936447,0
0.93663,0
0.936996,0
0.937179,0
0.937545,0
0.937728,0
0.938094,0
0.938461,0.001839623
0.938644,0.022075472
0.93901,0.020235849
0.939193,0
0.939559,0
0.939742,0
0.940108,0.003679245
0.940291,0.014716981
0.940658,0
0.940841,0
0.941207,0
0.941573,0
0.941756,0
0.942122,0
0.942305,0
0.942671,0.005518868
0.942855,0.012863208
0.943221,0.005518868
0.943404,1.52E-12
0.94377,0.022075472
0.943953,0.011037736
0.944319,0
0.944685,0.001839623
0.944868,0.014716981
0.945235,0.011037736
0.945418,0.016556604
