ppm,spectrum
0.700067,0
0.700434,0
0.700617,0
0.700983,0
0.701167,0
0.701533,0
0.701716,0
0.702083,0
0.702266,0
0.702632,0
0.702815,0
0.703182,0
0.703548,0
0.703732,0
0.704098,0
0.704281,0
0.704648,0
0.704831,0
0.705197,0
0.70538,0
0.705747,0
0.70593,0
0.706297,0
0.706663,0
0.706846,0
0.707213,0
0.707396,0
0.707762,0
0.707946,0
0.708312,0
0.708495,0
0.708862,0
0.709045,0
0.709411,0
0.709778,0
0.709961,0
0.710327,0
0.710511,0
0.710877,0
0.71106,0
0.711427,0
0.71161,0
0.711976,0
0.712159,0
0.712526,0
0.712892,0
0.713076,0
0.713442,0
0.713625,0
0.713992,0
0.714175,0
0.714541,0
0.714725,0
0.715091,0
0.715457,0
0.715641,0
0.716007,0
0.71619,0
0.716557,0
0.71674,0
0.717106,0
0.71729,0
0.717656,0
0.717839,0
0.718206,0
0.718572,0
0.718755,0
0.719122,0
0.719305,0
0.719671,0
0.719855,0
0.720221,0
0.720404,0
0.720771,0
0.720954,0
0.72132,0
0.721687,0
0.72187,0
0.722236,0
0.72242,0
0.722786,0
0.722969,0
0.723336,0
0.723519,0
0.723885,0
0.724069,0
0.724435,0
0.724801,0
0.724985,0
0.725351,0
0.725534,0
0.725901,0
0.726084,0
0.72645,0
0.726634,0
0.727,0
0.727183,0
0.72755,0
0.727916,0
0.728099,0
0.728466,0
0.728649,0
0.729015,0
0.729199,0
0.729565,0
0.729748,0
0.730115,0
0.730298,0
0.730664,0
0.731031,0
0.731214,0
0.73158,0
0.731764,0
0.73213,0
0.732313,0
0.73268,0
0.732863,0
0.733229,0
0.733413,0
0.733779,0
0.734145,0
0.734329,0
0.734695,0
0.734878,0
0.735245,0
0.735428,0
0.735794,0
0.735978,0
0.736344,0
0.736527,0
0.736894,0
0.73726,0
0.737443,0
0.73781,0
0.737993,0
0.738359,0
0.738543,0
0.738909,0
0.739092,0
0.739459,0
0.739825,0
0.740008,0
0.740375,0
0.740558,0
0.740924,0
0.741108,0
0.741474,0
0.741657,0
0.742024,0
0.742207,0
0.742573,0
0.74294,0
0.743123,0
0.743489,0
0.743673,0
0.744039,0
0.744222,0
0.744589,0
0.744772,0
0.745138,0
0.745322,0
0.745688,0
0.746054,0
0.746238,0
0.746604,0
0.746787,0
0.747154,0
0.747337,0
0.747703,0
0.747887,0
0.748253,0
0.748436,0
0.748803,0
0.749169,0
0.749352,0
0.749719,0
0.749902,0
0.750268,0
0.750452,0
0.750818,0
0.751001,0
0.751368,0
0.751551,0
0.751917,0
0.752284,0
0.752467,0
0.752833,0
0.753017,0
0.753383,0
0.753566,0
0.753933,0
0.754116,0
0.754482,0
0.754666,0
0.755032,0
0.755398,0
0.755582,0
0.755948,0
0.756131,0
0.756498,0
0.756681,0
0.757047,0
0.757231,0
0.757597,0
0.75778,0
0.758147,0
0.758513,0
0.758696,0
0.759063,0
0.759246,0
0.759612,0
0.759796,0
0.760162,0
0.760345,0
0.760712,0
0.760895,0
0.761261,0
0.761628,0
0.761811,0
0.762177,0
0.762361,0
0.762727,0
0.76291,0
0.763277,0
0.76346,0
0.763826,0
0.764193,0
0.764376,0
0.764742,0
0.764926,0
0.765292,0
0.765475,0
0.765842,0
0.766025,0
0.766391,0
0.766575,0
0.766941,0
0.767307,0
0.767491,0
0.767857,0
0.76804,0
0.768407,0
0.76859,0
0.768956,0
0.76914,0
0.769506,0
0.769689,0
0.770056,0
0.770422,0
0.770605,0
0.770972,0
0.771155,0
0.771521,0
0.771705,0
0.772071,0
0.772254,0
0.772621,0
0.772804,0
0.77317,0
0.773537,0
0.77372,0
0.774086,0
0.77427,0
0.774636,0
0.774819,0
0.775186,0
0.775369,0
0.775735,0
0.775919,0
0.776285,0
0.776651,0
0.776835,0
0.777201,0
0.777384,0
0.777751,0
0.777934,0
0.7783,0
0.778484,0
0.77885,0
0.779033,0
0.7794,0
0.779766,0
0.779949,0
0.780316,0
0.780499,0
0.780865,0
0.781049,0
0.781415,0
0.781598,0
0.781965,0
0.782148,0
0.782514,0
0.782881,0
0.783064,0
0.78343,0
0.783614,0
0.78398,0
0.784163,0
0.78453,0
0.784713,0
0.785079,0
0.785263,0
0.785629,0
0.785995,0
0.786179,0
0.786545,0
0.786728,0
0.787095,0
0.787278,0
0.787644,0
0.787828,0
0.788194,0
0.78856,0
0.788744,0
0.78911,0
0.789293,0
0.78966,0
0.789843,0
0.790209,0
0.790393,0
0.790759,0
0.790942,0
0.791309,0
0.791675,0
0.791858,0
0.792225,0
0.792408,0
0.792774,0
0.792958,0
0.793324,0
0.793507,0
0.793874,0
0.794057,0
0.794423,0
0.79479,0
0.794973,0
0.795339,0
0.795523,0
0.795889,0
0.796072,0
0.796439,0
0.796622,0
0.796988,0
0.797172,0
0.797538,0
0.797904,0
0.798088,0
0.798454,0
0.798637,0
0.799004,0
0.799187,0
0.799553,0
0.799737,0
0.800103,0
0.800286,0
0.800653,0
0.801019,0
