ppm,spectrum
0.700092,0
0.700412,0
0.700626,0
0.700946,0
0.701267,0
0.701481,0
0.701801,0
0.702121,0
0.702335,0
0.702655,0
0.702976,0
0.70319,0
0.70351,0
0.703724,0
0.704044,0
0.704364,0
0.704578,0
0.704899,0
0.705219,0
0.705433,0
0.705753,0
0.706073,0
0.706287,0
0.706608,0
0.706928,0
0.707142,0
0.707462,0
0.707782,0
0.707996,0
0.708317,0
0.708637,0
0.708851,0
0.709171,0
0.709491,0
0.709705,0
0.710026,0
0.710239,0
0.71056,0
0.71088,0
0.711094,0
0.711414,0
0.711735,0
0.711948,0
0.712269,0
0.712589,0
0.712803,0
0.713123,0
0.713444,0
0.713657,0
0.713978,0
0.714298,0
0.714512,0
0.714832,0
0.715153,0
0.715366,0
0.715687,0
0.716007,0
0.716221,0
0.716541,0
0.716861,0
0.717075,0
0.717396,0
0.717609,0
0.71793,0
0.71825,0
0.718464,0
0.718784,0
0.719105,0
0.719318,0
0.719639,0
0.719959,0
0.720173,0
0.720493,0
0.720814,0
0.721027,0
0.721348,0
0.721668,0
0.721882,0
0.722202,0
0.722523,0
0.722736,0
0.723057,0
0.723377,0
0.723591,0
0.723911,0
0.724125,0
0.724445,0
0.724766,0
0.724979,0
0.7253,0
0.72562,0
0.725834,0
0.726154,0
0.726475,0
0.726688,0
0.727009,0
0.727329,0
0.727543,0
0.727863,0
0.728184,0
0.728397,0
0.728718,0
0.729038,0
0.729252,0
0.729572,0
0.729893,0
0.730106,0
0.730427,0
0.73064,0
0.730961,0
0.731281,0
0.731495,0
0.731815,0
0.732136,0
0.732349,0
0.73267,0
0.73299,0
0.733204,0
0.733524,0
0.733845,0
0.734058,0
0.734379,0
0.734699,0
0.734913,0
0.735233,0
0.735554,0
0.735767,0
0.736088,0
0.736408,0
0.736622,0
0.736942,0
0.737156,0
0.737476,0
0.737797,0
0.73801,0
0.738331,0
0.738651,0
0.738865,0
0.739185,0
0.739506,0
0.739719,0
0.74004,0
0.74036,0
0.740574,0
0.740894,0
0.741215,0
0.741428,0
0.741749,0
0.742069,0
0.742283,0
0.742603,0
0.742924,0
0.743137,0
0.743458,0
0.743671,0
0.743992,0
0.744312,0
0.744526,0
0.744846,0
0.745167,0
0.74538,0
0.745701,0
0.746021,0
0.746235,0
0.746555,0
0.746876,0
0.747089,0
0.74741,0
0.74773,0
0.747944,0
0.748264,0
0.748585,0
0.748798,0
0.749119,0
0.749439,0
0.749653,0
0.749973,0
0.750294,0
0.750507,0
0.750828,0
0.751041,0
0.751362,0
0.751682,0
0.751896,0
0.752216,0
0.752537,0
0.75275,0
0.753071,0
0.753391,0
0.753605,0
0.753925,0
0.754246,0
0.754459,0
0.75478,0
0.7551,0
0.755314,0
0.755634,0
0.755955,0
0.756168,0
0.756489,0
0.756809,0
0.757023,0
0.757343,0
0.757557,0
0.757877,0
0.758198,0
0.758411,0
0.758732,0
0.759052,0
0.759266,0
0.759586,0
0.759907,0
0.76012,0
0.760441,0
0.760761,0
0.760975,0
0.761295,0
0.761616,0
0.761829,0
0.76215,0
0.76247,0
0.762684,0
0.763004,0
0.763325,0
0.763538,0
0.763859,0
0.764072,0
0.764393,0
0.764713,0
0.764927,0
0.765247,0
0.765568,0
0.765781,0
0.766102,0
0.766422,0
0.766636,0
0.766956,0
0.767277,0
0.76749,0
0.767811,0
0.768131,0
0.768345,0
0.768665,0
0.768986,0
0.769199,0
0.76952,0
0.76984,0
0.770054,0
0.770374,0
0.770588,0
0.770908,0
0.771229,0
0.771442,0
0.771763,0
0.772083,0
0.772297,0
0.772617,0
0.772938,0
0.773151,0
0.773472,0
0.773792,0
0.774006,0
0.774326,0
0.774647,0
0.77486,0
0.775181,0
0.775501,0
0.775715,0
0.776035,0
0.776356,0
0.776569,0
0.77689,0
0.77721,0
0.777424,0
0.777744,0
0.777958,0
0.778278,0
0.778599,0
0.778812,0
0.779133,0
0.779453,0
0.779667,0
0.779987,0
0.780308,0
0.780521,0
0.780842,0
0.781162,0
0.781376,0
0.781696,0
0.782017,0
0.78223,0
0.782551,0
0.782871,0
0.783085,0
0.783405,0
0.783726,0
0.783939,0
0.78426,0
0.784474,0
0.784794,0
0.785114,0
0.785328,0
0.785648,0
0.785969,0
0.786183,0
0.786503,0
0.786823,0
0.787037,0
0.787357,0
0.787678,0
0.787892,0
0.788212,0
0.788532,0
0.788746,0
0.789066,0
0.789387,0
0.789601,0
