ppm,spectrum
0.700068,0
0.700434,0
0.700618,0
0.700984,0
0.701167,0
0.701534,0
0.701717,0
0.702083,0
0.702267,0
0.702633,0
0.702816,0
0.703183,0
0.703549,0
0.703732,0
0.704099,0
0.704282,0
0.704648,0
0.704832,0
0.705198,0
0.705381,0
0.705748,0
0.705931,0
0.706297,0
0.706664,0
0.706847,0
0.707213,0
0.707397,0
0.707763,0
0.707946,0
0.708313,0
0.708496,0
0.708862,0
0.709046,0
0.709412,0
0.709778,0
0.709962,0
0.710328,0
0.710511,0
0.710878,0
0.711061,0
0.711427,0
0.711611,0
0.711977,0
0.71216,0
0.712527,0
0.712893,0
0.713076,0
0.713443,0
0.713626,0
0.713992,0
0.714176,0
0.714542,0
0.714725,0
0.715092,0
0.715458,0
0.715641,0
0.716008,0
0.716191,0
0.716557,0
0.716741,0
0.717107,0
0.71729,0
0.717657,0
0.71784,0
0.718206,0
0.718573,0
0.718756,0
0.719122,0
0.719306,0
0.719672,0
0.719855,0
0.720222,0
0.720405,0
0.720771,0
0.720955,0
0.721321,0
0.721687,0
0.721871,0
0.722237,0
0.72242,0
0.722787,0
0.72297,0
0.723336,0
0.72352,0
0.723886,0
0.724069,0
0.724436,0
0.724802,0
0.724985,0
0.725352,0
0.725535,0
0.725901,0
0.726085,0
0.726451,0
0.726634,0
0.727001,0
0.727184,0
0.72755,0
0.727917,0
0.7281,0
0.728466,0
0.72865,0
0.729016,0
0.729199,0
0.729566,0
0.729749,0
0.730115,0
0.730299,0
0.730665,0
0.731031,0
0.731215,0
0.731581,0
0.731764,0
0.732131,0
0.732314,0
0.73268,0
0.732864,0
0.73323,0
0.733413,0
0.73378,0
0.734146,0
0.734329,0
0.734696,0
0.734879,0
0.735245,0
0.735429,0
0.735795,0
0.735978,0
0.736345,0
0.736528,0
0.736894,0
0.737261,0
0.737444,0
0.73781,0
0.737994,0
0.73836,0
0.738543,0
0.73891,0
0.739093,0
0.739459,0
0.739826,0
0.740009,0
