ppm,spectrum
0.700198,0.004017621
0.700427,0.004017621
0.700657,0.004017621
0.701115,0.004017621
0.701344,0.003118943
0.701573,0
0.701802,0
0.70226,0
0.702489,0.000912991
0.702719,0.003118943
0.702948,0
0.703406,0
0.703635,0
0.703864,0
0.704093,0
0.704551,0
0.70478,0
0.70501,0
0.705239,0
0.705468,0
0.705926,0
0.706155,0
0.706384,0
0.706613,0
0.707072,0
0.707301,0
0.70753,0
0.707759,0
0.708217,0
0.708446,0.000914588
0.708675,0.004017621
0.708904,0.004017621
0.709363,0.004017621
0.709592,0.004017621
0.709821,0.004017621
0.71005,0.004017621
0.710508,0.004017621
0.710737,0.004017621
0.710966,0.004942731
0.711196,0.008035242
0.711425,0.008035242
0.711883,0.003118943
0.712112,0
0.712341,0
0.71257,0
0.713028,0
0.713258,0
0.713487,0
0.713716,0
0.714174,0
0.714403,0
0.714632,0
0.714861,0
0.71532,0
0.715549,0
0.715778,0
0.716007,0
0.716236,0
0.716694,0.004017621
0.716923,0.004017621
0.717152,0.004017621
0.717381,0.003092511
0.71784,0
0.718069,0
0.718298,0
0.718527,0
0.718985,0
0.719214,0
0.719443,0
0.719673,0
0.720131,0
0.72036,0
0.720589,0
0.720818,0
0.721276,0.004017621
0.721505,0.004017621
0.721735,0.004017621
0.721964,0.004017621
0.722193,0.004017621
0.722651,0
0.72288,0
0.723109,0
0.723338,0
0.723797,0.0009187
0.724026,0.004017621
0.724255,0.004017621
0.724484,0.004017621
0.724942,0
0.725171,0
0.7254,0.000919129
0.725629,0.004017621
0.726088,0.004017621
0.726317,0.003092511
0.726546,0
0.726775,0
0.727004,0
0.727462,0
0.727691,0
0.727921,0
0.72815,0
0.728608,0
0.728837,0
0.729066,0
0.729295,0
0.729753,0.000920294
0.729982,0.004017621
0.730212,0.004017621
0.730441,0.004017621
0.730899,0.004017621
0.731128,0.004017621
0.731357,0.004017621
0.731586,0.004017621
0.732044,0.004017621
0.732274,0.004017621
0.732503,0.003092511
0.732732,0
0.732961,0
0.733419,0
0.733648,0.000921338
0.733877,0.004017621
0.734106,0.004017621
0.734565,0.003092511
0.734794,0
0.735023,0
0.735252,0
0.73571,0
0.735939,0.000921952
0.736168,0.004017621
0.736398,0.004017621
0.736856,0.008035242
0.737085,0.008035242
0.737314,0.008035242
0.737543,0.008035242
0.737772,0.007110132
0.73823,0.004017621
0.73846,0.004942731
0.738689,0.008035242
0.738918,0.008035242
0.739376,0.008035242
0.739605,0.008035242
0.739834,0.008035242
0.740063,0.008035242
0.740522,0.007110132
0.740751,0.003092511
0.74098,0
0.741209,0
0.741667,0.000923487
0.741896,0.004017621
0.742125,0.004942731
0.742354,0.008035242
0.742813,0.007110132
0.743042,0.004017621
0.743271,0.004017621
0.7435,0.004017621
0.743729,0.003092511
0.744187,0
0.744416,0
0.744645,0
0.744875,0
0.745333,0
0.745562,0
0.745791,0
0.74602,0
0.746478,0
0.746707,0
0.746937,0
0.747166,0
0.747624,0
0.747853,0
0.748082,0
0.748311,0.000925266
0.74854,0.004017621
0.748999,0
0.749228,0
0.749457,0
0.749686,0
0.750144,0
0.750373,0
0.750602,0
0.750831,0
0.75129,0
0.751519,0
0.751748,0
0.751977,0
0.752435,0.004017621
0.752664,0.004017621
0.752893,0.003092511
0.753123,0
0.753352,0
0.75381,0
0.754039,0
0.754268,0
0.754497,0
0.754955,0.000927048
0.755185,0.004017621
0.755414,0.004942731
0.755643,0.008035242
0.756101,0.004017621
0.75633,0.004017621
0.756559,0.004017621
0.756788,0.004942731
0.757246,0.007110132
0.757476,0.004017621
0.757705,0.003092511
0.757934,0
0.758392,0
0.758621,0
0.75885,0
0.759079,0
0.759308,0
0.759767,0
0.759996,0
0.760225,0.000928459
0.760454,0.004942731
0.760912,0.007110132
0.761141,0.003092511
0.76137,0
0.7616,0
0.762058,0
0.762287,0
0.762516,0
0.762745,0
0.763203,0
0.763432,0
0.763662,0
0.763891,0
0.76412,0
