ppm,spectrum
0.700148,0
0.700377,0
0.700606,0
0.701065,0
0.701294,0
0.701523,0
0.701752,0
0.70221,0
0.702439,0
0.702668,0
0.702897,0
0.703356,0
0.703585,0
0.703814,0
0.704043,0
0.704501,0
0.70473,0
0.704959,0
0.705188,0
0.705418,0
0.705876,0
0.706105,0
0.706334,0
0.706563,0
0.707021,0
0.70725,0
0.70748,0
0.707709,0
0.708167,0
0.708396,0
0.708625,0
0.708854,0
0.709312,0
0.709541,0
0.709771,0
0.71,0
0.710458,0
0.710687,0
0.710916,0
0.711145,0
0.711374,0
0.711833,0
0.712062,0
0.712291,0
0.71252,0
0.712978,0
0.713207,0
0.713436,0
0.713665,0
0.714124,0
0.714353,0
0.714582,0
0.714811,0
0.715269,0
0.715498,0
0.715727,0
0.715956,0
0.716186,0
0.716644,0
0.716873,0
0.717102,0
0.717331,0
0.717789,0
0.718018,0
0.718247,0
0.718477,0
0.718935,0
0.719164,0
0.719393,0
0.719622,0
0.72008,0
0.720309,0
0.720539,0
0.720768,0
0.721226,0
0.721455,0
0.721684,0
0.721913,0
0.722142,0
0.7226,0
0.72283,0
0.723059,0
0.723288,0
0.723746,0
0.723975,0
0.724204,0
0.724433,0
0.724892,0
0.725121,0
0.72535,4.03E-14
0.725579,0.001843114
0.726037,0
0.726266,0
0.726495,0
0.726724,0
0.726953,4.03E-14
0.727412,0
0.727641,0
0.72787,0
0.728099,0
0.728557,0
0.728786,0
0.729015,0
0.729245,0
0.729703,0
0.729932,0
0.730161,0
0.73039,0
0.730848,0
0.731077,0
0.731307,0
0.731536,0
0.731994,0
0.732223,0
0.732452,0
0.732681,0
0.73291,0
0.733368,0
0.733598,0
0.733827,0
0.734056,0
0.734514,0
0.734743,0
0.734972,0
0.735201,5.37E-14
0.73566,0.001843114
0.735889,0.001843114
0.736118,0
0.736347,0
0.736805,5.37E-14
0.737034,0.001843114
0.737263,0.001843114
0.737492,0.001843114
0.737721,0
0.73818,0
0.738409,0
0.738638,0
0.738867,0
0.739325,0
0.739554,0
0.739783,0
0.740013,0
0.740471,0
0.7407,0
0.740929,0
0.741158,0
0.741616,0
0.741845,0
0.742074,0
0.742304,0
0.742762,0
0.742991,0
0.74322,0
0.743449,0
0.743678,0
0.744136,0.001843114
0.744366,0.001843114
0.744595,0.001843114
0.744824,0
0.745282,0
0.745511,0
0.74574,0
0.745969,0
0.746427,0
0.746657,0
0.746886,0
0.747115,0
0.747573,0
0.747802,0
0.748031,0
0.74826,0
0.748489,5.37E-14
0.748948,0.001843114
0.749177,0
0.749406,0
0.749635,0
0.750093,0
0.750322,0
0.750551,0
0.75078,0
0.751239,0
0.751468,5.37E-14
0.751697,0.001843114
0.751926,0.001843114
0.752384,0
0.752613,0
0.752842,0
0.753072,0
0.753301,0
0.753759,0
0.753988,0
0.754217,0
0.754446,0
0.754904,0
0.755133,0
0.755363,0
0.755592,0
0.75605,0
0.756279,0
0.756508,0
0.756737,0
0.757195,0
0.757425,5.37E-14
0.757654,0.001843114
0.757883,0
0.758341,0
0.75857,0
0.758799,5.37E-14
0.759028,0.001843114
0.759257,0.001843114
0.759716,0.001843114
0.759945,0.001843114
0.760174,0.001843114
0.760403,0.001843114
0.760861,0
0.76109,0
0.761319,0
0.761548,0
0.762007,0.001843114
0.762236,0.001843114
0.762465,0
0.762694,0
0.763152,0
0.763381,0
0.76361,0
0.76384,0
0.764069,0
0.764527,5.37E-14
0.764756,0.001843114
0.764985,0.001843114
0.765214,0
0.765672,0
0.765901,0
0.766131,0
0.76636,0
0.766818,0
0.767047,0
0.767276,0
0.767505,0
0.767963,0
