ppm,spectrum
0.700052,0
0.70042,0
0.700604,0
0.700971,0
0.701155,0.003692308
0.701523,0.007384615
0.701707,0.003692308
0.702074,0.003692308
0.702258,0.007384615
0.702626,0.003692308
0.70281,0.011107692
0.703177,0.033230769
0.703361,0.033230769
0.703729,0.003692308
0.704097,0.007384615
0.70428,0.011107692
0.704648,0.018492308
0.704832,0.0148
0.7052,0.007384615
0.705383,0.011107692
0.705751,0.018492308
0.705935,0.025907692
0.706303,0.0148
0.706486,0.007384615
0.706854,0.0148
0.707222,0.003692308
0.707406,0
0.707773,0
0.707957,0
0.708325,0
0.708509,0
0.708876,0
0.70906,0
0.709428,0
0.709612,0
0.709979,0.007384615
0.710163,0.003692308
0.710531,0.007384615
0.710899,0.003692308
0.711082,2.96E-13
0.71145,0.003692308
0.711634,0.003692308
0.712002,0.003692308
0.712185,3.23E-13
0.712553,0
0.712737,0
0.713105,0
0.713288,0
0.713656,0
0.714024,0
0.714208,0
0.714575,0
0.714759,0
0.715127,0
0.715311,0
0.715678,0
0.715862,0.003692308
0.71623,0.007384615
0.716414,0.011107692
0.716781,0.0148
0.716965,0.011107692
0.717333,3.50E-13
0.717701,0
0.717884,0.003692308
0.718252,0
0.718436,0
0.718804,0
0.718987,0
0.719355,0
0.719539,0
0.719907,0
0.72009,0
0.720458,0.003692308
0.720826,0
0.72101,0
0.721377,0
0.721561,0
0.721929,0
0.722113,0.003692308
0.72248,0.003692308
0.722664,0
0.723032,0
0.723216,0
0.723583,0.003692308
0.723767,0
0.724135,0
0.724503,0
0.724686,0
0.725054,0
0.725238,0.003692308
0.725606,0
0.725789,0
0.726157,0
0.726341,0
0.726709,0
0.726892,0
0.72726,0
0.727628,0
0.727812,0
0.728179,0
0.728363,0
0.728731,0
0.728915,0
0.729282,0.003692308
0.729466,4.04E-13
0.729834,0
0.730018,0
0.730385,0.003692308
0.730569,0.007384615
0.730937,0.011107692
0.731305,0.003692308
0.731488,4.31E-13
0.731856,4.31E-13
0.73204,0
0.732408,0.007384615
0.732591,0.003692308
0.732959,0
0.733143,0
0.733511,0.003692308
0.733694,0
0.734062,0
0.734246,0
0.734614,0
0.734981,0
0.735165,0
0.735533,0
0.735717,0
0.736084,0.007384615
0.736268,8.61E-13
0.736636,0
0.73682,0
0.737187,0
0.737371,0
0.737739,0.003692308
0.738107,0.003692308
0.73829,4.58E-13
0.738658,0
0.738842,0
0.73921,4.58E-13
0.739393,0
0.739761,0
0.739945,0
0.740313,0
0.740496,0
0.740864,0
0.741048,0
0.741416,0
0.741783,0.003692308
0.741967,0.007384615
0.742335,0.0148
0.742519,1.94E-12
0.742886,0
0.74307,0
0.743438,4.85E-13
0.743622,0
0.743989,0
0.744173,0
0.744541,0
0.744908,0
0.745092,0
0.74546,0
0.745644,0
0.746012,0
0.746195,0
0.746563,0
0.746747,0
0.747115,0
0.747298,0
0.747666,0
0.74785,0
0.748218,0
0.748585,0.011107692
0.748769,1.53E-12
0.749137,0
0.749321,0
0.749688,0
0.749872,0
0.75024,0
0.750424,0
0.750791,0
0.750975,0
0.751343,0
0.75171,0
0.751894,0
0.752262,0.007384615
0.752446,0.011107692
0.752813,0.003692308
0.752997,5.38E-13
0.753365,0.011107692
0.753549,0.011107692
0.753917,0
0.7541,0
0.754468,0.003692308
0.754652,0.007384615
0.75502,0.003692308
0.755387,0
0.755571,0
0.755939,0.003692308
0.756123,5.65E-13
0.75649,0
0.756674,0.003692308
0.757042,0.003692308
0.757226,0.003692308
0.757593,0
0.757777,0.007384615
0.758145,0.011107692
0.758329,0.003692308
0.758696,0.007384615
0.759064,0.003692308
0.759248,5.92E-13
0.759615,0
0.759799,0
0.760167,0
0.760351,0.003692308
0.760718,0.007384615
0.760902,0.007384615
0.76127,0.003692308
0.761454,5.92E-13
0.761822,0
0.762189,0
0.762373,0
0.762741,0
0.762925,0.003692308
0.763292,0.003692308
0.763476,5.92E-13
0.763844,0.007384615
0.764028,0.003692308
0.764395,0.003692308
0.764579,0.007384615
0.764947,0.007384615
0.765131,0.003692308
0.765498,0
0.765866,0.003692308
0.76605,6.19E-13
0.766417,0.007384615
0.766601,0.0148
0.766969,0.0148
0.767153,0.007384615
0.76752,0
0.767704,0
0.768072,0
0.768256,0
0.768624,0
0.768991,0
0.769175,0
0.769543,0
0.769727,0.011107692
0.770094,0.003692308
0.770278,0.003692308
0.770646,0.003692308
0.77083,0
0.771197,0
0.771381,0
0.771749,0
0.771933,0
0.7723,0
0.772668,0
